area_council,ward,community,sector,role_in_community,other_role_in_community,sex,age_in_completed_years,marital_status,occupation,other_occupation,physical_challenge,deaf,dumb,cripple,blind,amputee,has_other_physical_challenge,other_physical_challenge,community_existence,duration_in_community,community_duration_months,condition_of_roads,movement_easy_convenient,movement_difficult_inconvenient,transport_fare_high,too_many_accidents,public_power_supply,other_sources_of_electricity,hours_of_public_power,effect_of_power_condition,public_water_supply,private_boreholes,water_vendors,stream,hand_dug_wells,harvested_rain,most_impacted_by_water_supply,other_impacted_water_supply,healthcare_facility,teaching_hospital,specialist_hospital,private_hospital,maternity_health_center_or_dispensary,herbal_homes_traditional_birth_attendance,public_primary_healthcare_facility,functional_public_healthcare_facility,healthcare_residents_go_out_of_community,healthcare_increased_complications,healthcare_other_effect,healthcare_other_effect_non_functional,educational_institution,public_nursery_school,private_nursery_school,public_primary_school,private_primary_school,public_secondary_school,private_secondary_school,colleges_of_education_or_teacher_training,universities_polytechnics_research_institutions,other_types_educational_instutitions,other_educational_institutions,education_children_travel_long_distance,education_additional_costs,education_increased_danger_exposure,waste_mangement_system,who_manages_waste,waste_high_incidence_injury,waste_offensive_odour,waste_prevalence_of_diseases,waste_other_effects,other_waste_management_absence,services_supermarkets_departmental_stores,services_daily_markets,services_scheduled_markets,services_mobile_telephone_services,services_business_centres,services/Type_of_Services/hair_styling_t,services_fast_food_joints,services_other,services_other_services,services_market_available,market_facilities_access_roads,market_facilities_electricity,market_facilities_toilets,market_facilities_motor_parks,market_facilities_waste_refuse_dump,market_facilities_other,other_market_facilities,market_absence_effect_travel_long_distance,market_absence_effect_low_patronage,market_absence_effect_more_spent_to_markets,market_absence_effect_high_patronage,mtn_present,mtn_signal_strength,glo_present,glo_signal_strength,etisalat_present,etisalat_signal_strength,airtel_present,airtel_signal_strength,visafone_present,visafone_signal_strength,has_other_network,other_network_name,other_network_signal_strength,involved_in_budget_process,community_access_to_budget_document,respondent_awareness_of_project_in_budget,name_of_project_in_budget,project_in_budget_monitor_implementation,project_in_budget_ask_questions,project_in_budget_do_nothing,project_in_budget_get_media_attention,area_council_budget_community_writes_needs,area_council_budget_coummunity_consultation,area_council_budget_other,area_council_budget_other_ways,project_implemented_due_to_request,name_project_implemented_due_to_request,community_briefing_on_development,months_since_last_community_briefing,cda_present,cda_initiates_meetings_with_area_council,cda_writes_to_area_councils,cda_never_contacted_area_council,area_councils_initiate_meetings_with_cda,cda_work_with_area_council_other,other_cda_work_with_area_council,cda_gender_composition,priority_need_to_community,other_priority_need_to_community,gps_location_of_community,community_latitude,community_longitude,community_altitude,gps_precision,today,submission_time,submission_date
amac,city_centre,abacha_barracks,urban,ordinary_member,n/a,female,28,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,11_to_15,n/a,fully_tarred,True,False,False,False,yes,n/a,1_to_6,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,yes,private_sector,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,The government gets things done as they deem fit.,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,power,n/a,9.04700073 7.53629059 574.5 5.0,9.04700073,7.53629059,574.5,5,2016-08-01,2016-08-01T10:39:42,2016-08-01
amac,city_centre,abacha_barracks,urban,community_head,n/a,male,50,married,other,military officer,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,fully_tarred,True,False,False,False,yes,n/a,19_to_23,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,punctuality,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,yes,private_sector,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,weak,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,no,no,yes,Building of Accommodation for officers and Men of the Nigerian Military within Mogadishu Cantonment ,True,False,False,False,False,False,True,The needs of the community are forwarded to the Ministry of Defence for inclusion into the Federal budget,no,n/a,no,n/a,yes,False,False,True,False,False,n/a,men_and_women,power,n/a,9.04773993 7.535028780000002 559.5 1.7,9.04773993,7.53502878,559.5,1.7,2016-08-01,2016-08-01T11:48:15,2016-08-01
amac,city_centre,abacha_barracks,urban,youth_leader,n/a,male,36,married,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,fully_tarred,True,False,False,False,yes,n/a,1_to_6,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,yes,private_sector,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,False,n/a,yes,True,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,weak,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,yes,no,no,n/a,True,False,False,False,True,False,False,n/a,no,n/a,yes,1_to_6,yes,True,False,False,False,False,n/a,men_and_women,power,n/a,9.0310957 7.5512977 0.0 1899.999,9.0310957,7.5512977,0,1899.999,2016-08-01,2016-08-01T11:51:13,2016-08-01
amac,city_centre,abacha_barracks,urban,ordinary_member,n/a,female,30,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,fully_tarred,True,False,False,False,yes,n/a,1_to_6,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,yes,private_sector,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,weak,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,power,n/a,9.05013 7.5262473 0.0 1799.999,9.05013,7.5262473,0,1799.999,2016-08-01,2016-08-01T12:03:23,2016-08-01
amac,city_centre,area_3,urban,ordinary_member,n/a,female,27,single,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,26_to_30,n/a,fully_tarred,True,False,False,False,yes,n/a,7_to_12,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,True,True,False,False,yes,n/a,n/a,n/a,n/a,yes,True,False,True,True,True,True,False,True,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,False,False,False,True,True,True,False,n/a,yes,True,True,True,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,False,True,False,False,n/a,equal,waste_management,n/a,9.0310064 7.47957551 558.0999755859375 5.0,9.0310064,7.47957551,558.0999755859,5,2016-08-01,2016-08-01T12:19:03,2016-08-01
kuje,chibiri,chukuku,rural,community_head,n/a,male,62,married,other,ochu,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,none_of_the_above,food_preservation,no,False,False,False,True,False,lot_money_buying_water,n/a,yes,False,False,False,False,False,True,no,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,False,True,no,n/a,False,False,True,False,n/a,False,True,False,False,True,False,False,True,small_scale_markets,yes,False,False,True,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,community contribution,no,n/a,no,n/a,yes,False,False,True,False,False,n/a,more_men,public_primary,n/a,8.9545774 7.1127466 0.0 2890.0,8.9545774,7.1127466,0,2890,2016-08-01,2016-08-01T12:25:15,2016-08-01
amac,city_centre,area_3,urban,community_head,n/a,male,68,married,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,26_to_30,n/a,fully_tarred,True,False,False,False,yes,n/a,7_to_12,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,True,True,False,False,yes,n/a,n/a,n/a,n/a,yes,True,False,True,True,True,True,False,True,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,False,False,False,True,True,True,False,n/a,yes,True,True,True,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,False,True,False,False,n/a,men_and_women,waste_management,n/a,9.0310894 7.4782909 0.0 171.0,9.0310894,7.4782909,0,171,2016-08-01,2016-08-01T12:51:14,2016-08-01
amac,city_centre,state_house_quaters,urban,women_leader,n/a,female,36,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,11_to_15,n/a,fully_tarred,True,False,False,False,yes,n/a,13_to_18,household_management,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,True,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,yes,waste_manager_engaged,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,True,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,no,n/a,False,True,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,False,True,False,False,n/a,men_and_women,power,n/a,9.08630117 7.52700428 541.5 2.5,9.08630117,7.52700428,541.5,2.5,2016-08-01,2016-08-01T13:20:57,2016-08-01
kuje,gaube,dafara,rural,ordinary_member,n/a,female,26,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,non_graded,True,True,False,True,yes,n/a,1_to_6,food_preservation,no,True,False,False,False,False,lot_money_buying_water,n/a,yes,False,False,False,True,False,False,no,True,False,False,n/a,yes,False,False,True,False,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,True,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,yes,no,no,n/a,False,True,False,False,False,True,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,men_and_women,primary_health,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T13:34:11,2016-08-01
kuje,gaube,dafara,rural,youth_leader,n/a,male,21,single,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,21_to_25,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,social_life,no,False,True,False,False,False,lot_money_buying_water,n/a,yes,False,False,False,True,False,False,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,True,False,False,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,yes,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,men_and_women,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-01,2016-08-01T13:34:15,2016-08-01
