"Women Environmental Programme (WEP) in collaboration with the National Bureau of Statistics (NBS), with the support from Open Knowledge International (OKI), under the African Open Data Collaboration Fund is conducting a survey in three(3) Area Councils of the Federal Capital Territory, Abuja - AMAC, Gwagwalada, and Kuje Area Councils. The aim of this survey is to gather relevant information that will be used to promote effective budget administration, transparent and accountable local governance of the three Area Councils.",COMMUNITY/Area Council,COMMUNITY/Ward,COMMUNITY/Community,COMMUNITY/Sector,GENERAL INFORMATION/Role in community,GENERAL INFORMATION/Please specify respondent's role in communty,GENERAL INFORMATION/Sex,GENERAL INFORMATION/Age (in completed years),GENERAL INFORMATION/Marital Status,GENERAL INFORMATION/Occupation,GENERAL INFORMATION/Please specify respondent's occupation,GENERAL INFORMATION/Physical Challenge,GENERAL INFORMATION/Kind of Physical Challenge,GENERAL INFORMATION/Kind of Physical Challenge/Blind,GENERAL INFORMATION/Kind of Physical Challenge/Deaf,GENERAL INFORMATION/Kind of Physical Challenge/Cripple,GENERAL INFORMATION/Kind of Physical Challenge/Dumb,GENERAL INFORMATION/Kind of Physical Challenge/Other (please specify),GENERAL INFORMATION/Kind of Physical Challenge/Amputee,GENERAL INFORMATION/Please specify respondent's other physical challenge,GENERAL INFORMATION/How could respondent's existence in this community be described?,GENERAL INFORMATION/How long has respondent lived in this community?,GENERAL INFORMATION/How many months has respondent lived in this community?,ROADS/What is the condition of road(s) in the community?,ROADS/How does the condition of roads affect the community? (tick all the apply),ROADS/How does the condition of roads affect the community? (tick all the apply)/Transport fare in and out of community is too high,ROADS/How does the condition of roads affect the community? (tick all the apply)/Movement in and out of community is easy and convenient,ROADS/How does the condition of roads affect the community? (tick all the apply)/Too many accidents on journeys in and out of community,ROADS/How does the condition of roads affect the community? (tick all the apply)/Movement in and out of community is difficult and inconvenient,ELECTRICITY/Is there public power supply to the community?,ELECTRICITY/What are the other sources of electricity in the community?,ELECTRICITY/How many hours of public power supply do you have daily in your community?,ELECTRICITY/Which one of the following is most affected by the condition of power supply in the community?,WATER SUPPLY/Is the community served by public water supply?,WATER SUPPLY/What are the other sources of water supply in the community? (tick all that apply),WATER SUPPLY/What are the other sources of water supply in the community? (tick all that apply)/Water vendors,WATER SUPPLY/What are the other sources of water supply in the community? (tick all that apply)/Private boreholes,WATER SUPPLY/What are the other sources of water supply in the community? (tick all that apply)/Hand-dug wells,WATER SUPPLY/What are the other sources of water supply in the community? (tick all that apply)/Stream,WATER SUPPLY/What are the other sources of water supply in the community? (tick all that apply)/Harvested rain water,WATER SUPPLY/Which one of the following is most impacted by the condition of water supply in the community?,WATER SUPPLY/State what is most impacted  by the condition of water supply in the community,HEALTHCARE FACILITY/Does the community have any healthcare facility?,HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply),HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply)/Private Hospitals/Clinics,HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply)/Public Primary Healthcare Facilities,HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply)/Herbal Homes/Traditional Birth Attendance,HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply)/Teaching Hospitals,HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply)/Specialist Hospitals/General Hospitals/Comprehensive Health Centres,HEALTHCARE FACILITY/What type of healthcare facilities are within the community? (tick all that apply)/Maternity Health Centres/Dispensaries,HEALTHCARE FACILITY/Are the public healthcare facilities functional?,HEALTHCARE FACILITY/How does it affect the community? (tick all that apply),HEALTHCARE FACILITY/How does it affect the community? (tick all that apply)/Increase in health complications,HEALTHCARE FACILITY/How does it affect the community? (tick all that apply)/Residents go out of the community to access basic health services,HEALTHCARE FACILITY/How does it affect the community? (tick all that apply)/Other (please specify),What other effect does non-functional public healthcare facilities have on the community?,EDUCATION/Does the community have any educational institution?,EDUCATION/Which of these institutions is within the community? (tick all that apply),EDUCATION/Which of these institutions is within the community? (tick all that apply)/Colleges of Education/Teacher Training Institutes,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Private Primary Schools,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Private Nursery Schools,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Private Secondary Schools,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Public Nursery Schools,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Public Primary Schools,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Universities/Polytechnics/Research Institutions,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Public Secondary Schools,EDUCATION/Which of these institutions is within the community? (tick all that apply)/Other (please specify),EDUCATION/Which other educational institutions are within the community?,EDUCATION/How does the absence of educational institutions affect the community? (tick all that apply),EDUCATION/How does the absence of educational institutions affect the community? (tick all that apply)/Children in the community go long distances to other communities,EDUCATION/How does the absence of educational institutions affect the community? (tick all that apply)/Additional cost of education,EDUCATION/How does the absence of educational institutions affect the community? (tick all that apply)/Increased exposure of children/wards to danger,WASTE MANAGEMENT/Is there waste management system within the community?,WASTE MANAGEMENT/Who manages the wastes generated within the community?,WASTE MANAGEMENT/How does the absence of waste management affect the community? (tick all that apply),"WASTE MANAGEMENT/How does the absence of waste management affect the community? (tick all that apply)/Prevalence of sanitation related diseases such as cholera, malaria, typhoid, diarrhea etc","WASTE MANAGEMENT/How does the absence of waste management affect the community? (tick all that apply)/High incidence of injury caused by solid waste like metal scraps, broken bottles etc",WASTE MANAGEMENT/How does the absence of waste management affect the community? (tick all that apply)/Other (please specify),WASTE MANAGEMENT/How does the absence of waste management affect the community? (tick all that apply)/Offensive odour from dumpsites and gutters,What other effect does the absence of waste management have on the community?,MARKETS/SERVICES/What types of services are available within the community? (tick all that apply),MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Supermarkets/Departmental Stores,MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Hair Styling/Tailoring,"MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Business Centres (with photocopying/typing facilities & cyber cafe services, etc)",MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Other (please specify),MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Scheduled Markets,MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Fast Food Joint/Restaurant/Canteen,MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Daily Markets,MARKETS/SERVICES/What types of services are available within the community? (tick all that apply)/Mobile Telephone Services,MARKETS/SERVICES/What other type of services are available within the community?,MARKETS/SERVICES/Are markets available within the community?,MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply),MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply)/Toilet,MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply)/Electricity,MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply)/Access road,MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply)/Waste refuse dump,MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply)/Motor park,MARKETS/SERVICES/What types of facilities are available within the market in the community? (tick all that apply)/Other (please specify),MARKETS/SERVICES/What other facilities are available within the market?,MARKETS/SERVICES/How does the absence of markets affect the community? (tick all that apply),MARKETS/SERVICES/How does the absence of markets affect the community? (tick all that apply)/Petty traders in the community spend more in taking wares to other markets,MARKETS/SERVICES/How does the absence of markets affect the community? (tick all that apply)/Small-scale businesses have high patronage,MARKETS/SERVICES/How does the absence of markets affect the community? (tick all that apply)/Small-scale businesses have low patronage,MARKETS/SERVICES/How does the absence of markets affect the community? (tick all that apply)/Members travel long distances to buy common goods,COMMUNICATION/Does the community have MTN reception signal in the community?,COMMUNICATION/Describe the signal strength of MTN network in your community.,COMMUNICATION/Does the community have Glo reception signal in the community?,COMMUNICATION/Describe the signal strength of Glo network in your community.,COMMUNICATION/Does the community have Etisalat reception signal in the community?,COMMUNICATION/Describe the signal strength of Etisalat network in your community.,COMMUNICATION/Does the community have Airtel reception signal in the community?,COMMUNICATION/Describe the signal strength of Airtel network in your community.,COMMUNICATION/Does the community have Visafone reception signal in the community?,COMMUNICATION/Describe the signal strength of Visafone network in your community.,COMMUNICATION/Does the community have another communication network aside those listed above?,COMMUNICATION/State the name of the other communication network in community.,COMMUNICATION/Describe the signal strength of ${Other_Network_Name} network in your community.,BUDGET ADMINISTRATION/Is community involved in Area Council's budgeting process?,"BUDGET ADMINISTRATION/Does the community have  access to the budget document of Nigeria, FCT or your Area Council?","BUDGET ADMINISTRATION/Is the respondent aware of any project in the community that is captured in Nigeria, FCT or Aea Council's Budget?",BUDGET ADMINISTRATION/State the project,BUDGET ADMINISTRATION/How does your community ensure that projects captured in the budget are effectively implemented? (tick all that apply),BUDGET ADMINISTRATION/How does your community ensure that projects captured in the budget are effectively implemented? (tick all that apply)/Get media attention,BUDGET ADMINISTRATION/How does your community ensure that projects captured in the budget are effectively implemented? (tick all that apply)/Ask questions to relevant people or organisations concerned,BUDGET ADMINISTRATION/How does your community ensure that projects captured in the budget are effectively implemented? (tick all that apply)/Monitor implementation,BUDGET ADMINISTRATION/How does your community ensure that projects captured in the budget are effectively implemented? (tick all that apply)/Do nothing,BUDGET ADMINISTRATION/How does the community get their needs into the Area Council Budgets? (tick all that apply),BUDGET ADMINISTRATION/How does the community get their needs into the Area Council Budgets? (tick all that apply)/Other (please specify),BUDGET ADMINISTRATION/How does the community get their needs into the Area Council Budgets? (tick all that apply)/Community writes to Area Councils stating their needs,BUDGET ADMINISTRATION/How does the community get their needs into the Area Council Budgets? (tick all that apply)/Community consultations are organised by Area Council prior to budget preparation,BUDGET ADMINISTRATION/What other ways does the community use to get their needs into the Area Council Budgets?,BUDGET ADMINISTRATION/Is there any project in the community you know which came about due to community's request to the Area Council?,BUDGET ADMINISTRATION/State the project,"BUDGET ADMINISTRATION/Has there been any community/constituency briefing or consultation by Councillors, or Area Council Executives regarding development in the community?",BUDGET ADMINISTRATION/How long since the last briefing/consultation?,BUDGET ADMINISTRATION/Is there a Community Development Association (CDA) in the community?,BUDGET ADMINISTRATION/How does the Community Development Association work with Area Council to develop the community?,BUDGET ADMINISTRATION/How does the Community Development Association work with Area Council to develop the community?/CDA has never contacted Area Councils on community's development,BUDGET ADMINISTRATION/How does the Community Development Association work with Area Council to develop the community?/CDA officials write to Area Councils on community's development needs,BUDGET ADMINISTRATION/How does the Community Development Association work with Area Council to develop the community?/Are Councils initiates meetings with CDA annually,BUDGET ADMINISTRATION/How does the Community Development Association work with Area Council to develop the community?/Officials of CDA regularly initiate meetings with Area Council Officials,BUDGET ADMINISTRATION/How does the Community Development Association work with Area Council to develop the community?/Other (please specify),BUDGET ADMINISTRATION/What other ways does the Community Development Association work with Area Council?,BUDGET ADMINISTRATION/What is the gender composition of the CDA?,BUDGET ADMINISTRATION/What facility or service can you say is of priority need to your community?,BUDGET ADMINISTRATION/What other facility or service is of priority need to your community?,GPS Location of Community,FINALISE/_GPS Location of Community_latitude,FINALISE/_GPS Location of Community_longitude,FINALISE/_GPS Location of Community_altitude,FINALISE/_GPS Location of Community_precision,start,end,today,__version__,_id,_uuid,_submission_time,_index,,,,,
,,,Police headquarters ,Urban,Community Head,,Male,50,Widow,Civil service,,No,,,,,,,,,Migrated here,16 - 20 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,19 - 23,Commercial activities,Yes,,,,,,,No/low incidence of water-borne diseases because of good water source,,Yes,Specialist Hospitals/General Hospitals/Comprehensive Health Centres,0,0,0,0,1,0,Yes,,,,,,Yes,Public Nursery Schools option_2 Public Primary Schools Private Primary Schools Public Secondary Schools Private Secondary Schools other,0,1,0,1,1,1,0,1,0,,,,,,Yes,Private Sector,,,,,,,"Supermarkets/Departmental Stores Daily Markets option_4 Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,1,0,,Yes,Access road Electricity Toilet Motor park Waste refuse dump,1,1,1,1,1,0,,,,,,,option_1,Strong,option_1,Strong,option_1,Strong,option_1,Strong,option_2,,Yes,Ntel,Strong,Don't know,No,Don't know,,Do nothing,0,0,0,1,Community writes to Area Councils stating their needs,0,1,0,,Don't know,,No,,No,,,,,,,,,Power,,8.990793240000002 7.56854843 393.5 3.9,8.990793240000002,7.56854843,393.5,3.9,2016-07-31T20:22:40.812+01,2016-07-31T20:39:21.345+01,2016-07-31,1804274,1379648,bbdd6fbc-1a71-45db-8eba-48c2c04b606c,2016-07-31T19:39:40,1,1,1,1,,
,,,Area 1,Urban,Youth Leader,,Male,32,Single,Business,,No,,,,,,,,,Born here,30+ years,,Graded,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,7 - 12,Commercial activities,No,Private boreholes,0,1,0,0,0,A lot of money is spent on buying water from vendors,,Yes,Private Hospitals/Clinics,1,0,0,0,0,0,Yes,,,,,,Yes,Public Nursery Schools option_2 Public Primary Schools Private Primary Schools Public Secondary Schools Private Secondary Schools Colleges of Education/Teacher Training Institutes,1,1,0,1,1,1,0,1,0,,,,,,No,,Offensive odour from dumpsites and gutters,0,0,0,1,,"Supermarkets/Departmental Stores Daily Markets option_4 Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,1,0,,Yes,Access road Electricity Toilet Motor park Waste refuse dump,1,1,1,1,1,0,,,,,,,option_1,Strong,option_1,Strong,option_1,Strong,option_1,Strong,option_2,,No,,,Yes,Yes,No,,Ask questions to relevant people or organisations concerned,0,1,0,0,Community writes to Area Councils stating their needs,0,1,0,,Don't know,,Don't know,,Yes,Officials of CDA regularly initiate meetings with Area Council Officials,0,0,0,1,0,,Men and women,Power,,,,,,,2016-07-31T20:53:40.652+01,2016-07-31T21:01:03.679+01,2016-07-31,1804274,1379659,5e94049f-54cc-4913-8a36-368f2f12f104,2016-07-31T20:01:18,2,1,1,1,,
,,,Lugbe,Rural,Ordinary Member,,Male,35,Married,Business,,No,,,,,,,,,Migrated here,11 - 15 years,,Graded,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,19 - 23,Commercial activities,No,Private boreholes Water vendors Hand-dug wells Harvested rain water,1,1,1,0,1,No/low incidence of water-borne diseases because of good water source,,Yes,Private Hospitals/Clinics Maternity Health Centres/Dispensaries Herbal Homes/Traditional Birth Attendance Public Primary Healthcare Facilities,1,1,1,0,0,1,Yes,,,,,,Yes,Public Nursery Schools option_2 Public Primary Schools Private Primary Schools Public Secondary Schools Private Secondary Schools,0,1,0,1,1,1,0,1,0,,,,,,Yes,Government,,,,,,,"Supermarkets/Departmental Stores Daily Markets option_4 Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,1,0,,Yes,Electricity Waste refuse dump,0,1,0,1,0,0,,,,,,,option_1,Strong,option_1,Strong,option_1,Strong,option_1,Weak,option_1,Weak,No,,,Yes,No,No,,Monitor implementation Ask questions to relevant people or organisations concerned,0,1,1,0,Community writes to Area Councils stating their needs Community consultations are organised by Area Council prior to budget preparation,0,1,1,,No,,Yes,13 - 24 months,Yes,Officials of CDA regularly initiate meetings with Area Council Officials,0,0,0,1,0,,Men and women,Water,,,,,,,2016-07-31T21:07:30.197+01,2016-07-31T21:21:34.100+01,2016-07-31,1804274,1379660,6864d11e-a8ce-4625-a2d3-4d45fde900d5,2016-07-31T20:22:33,3,1,1,1,,
,,,Karu,Rural,Youth Leader,,Female,24,Single,Student,,No,,,,,,,,,Born here,16 - 20 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,No,All of the above,,Commercial activities,No,Stream,0,0,0,1,0,No/low incidence of water-borne diseases because of good water source,,No,Private Hospitals/Clinics,1,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,option_1,0,0,0,Yes,Government,,,,,,,Supermarkets/Departmental Stores,1,0,0,0,0,0,0,0,,No,,,,,,,,,Members travel long distances to buy common goods,0,0,0,1,option_1,Strong,option_1,Weak,option_2,,option_1,Weak,option_1,Strong,No,,,Yes,No,No,,Monitor implementation,0,0,1,0,Community consultations are organised by Area Council prior to budget preparation,0,0,1,,No,,Yes,25 - 36 months,No,,,,,,,,,Power,,,,,,,2016-07-31T21:16:21.399+01,2016-07-31T21:20:24.878+01,2016-07-31,1804274,1379662,c9afc7a6-d484-4cae-bd59-b04a1253f087,2016-07-31T20:27:02,4,1,1,1,1,
,Abuja Municipal Area Council,Nyanya,Mike,Rural,Youth Leader,,Female,55,Married,Business,,Yes,Dumb,0,0,0,1,0,0,,Migrated here,16 - 20 years,,Non-graded,Movement in and out of community is easy and convenient,0,1,0,0,No,Generators,,Commercial activities,No,Private boreholes,0,1,0,0,0,No/low incidence of water-borne diseases because of good water source,,Under construction,Teaching Hospitals,0,0,0,1,0,0,Yes,,,,,,Yes,Private Primary Schools,0,1,0,0,0,0,0,0,0,,,,,,Yes,Private Sector,,,,,,,Daily Markets,0,0,0,0,0,0,1,0,,No,,,,,,,,,Members travel long distances to buy common goods,0,0,0,1,No,,Yes,Weak,Yes,Weak,No,,Yes,Weak,Yes,Ghj,Weak,Yes,Yes,Yes,Watee,Monitor implementation,0,0,1,0,Community writes to Area Councils stating their needs,0,1,0,,No,,Yes,1 - 6 months,Yes,Officials of CDA regularly initiate meetings with Area Council Officials,0,0,0,1,0,,All women,Power,,,,,,,2016-08-01T08:09:26.459+01,2016-08-01T08:14:33.223+01,2016-08-01,1804606,1380509,436334fd-8f39-4c2d-bd22-dd299609f0b6,2016-08-01T07:16:54,5,1,1,1,1,
,Abuja Municipal Area Council,City Centre,Abacha Barracks,Urban,Ordinary Member,,Female,28,Single,Business,,No,,,,,,,,,Migrated here,11 - 15 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,1 - 6,Commercial activities,Yes,,,,,,,No/low incidence of water-borne diseases because of good water source,,Yes,Specialist Hospitals/General Hospitals/Comprehensive Health Centres,0,0,0,0,1,0,Yes,,,,,,Yes,Public Nursery Schools Public Primary Schools Public Secondary Schools,0,0,0,0,1,1,0,1,0,,,,,,Yes,Private Sector,,,,,,,"Supermarkets/Departmental Stores Daily Markets Mobile Telephone Services Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,1,1,,Yes,Access road Electricity Toilet,1,1,1,0,0,0,,,,,,,Yes,Strong,Yes,Strong,Yes,Strong,Yes,Strong,No,,No,,,No,No,No,,Do nothing,0,0,0,1,Other (please specify),1,0,0,The government gets things done as they deem fit.,No,,No,,No,,,,,,,,,Power,,9.04700073 7.53629059 574.5 5.0,9.04700073,7.53629059,574.5,5.0,2016-08-01T11:15:06.933+01,2016-08-01T11:39:19.127+01,2016-08-01,1804606,1381509,467ce350-bd77-4bf3-a8cf-b06d78a00024,2016-08-01T10:39:42,6,1,1,1,1,
,Abuja Municipal Area Council,City Centre,Abacha Barracks,Urban,Community Head,,Male,50,Married,Other (please specify),Military Officer,No,,,,,,,,,Migrated here,6 - 10 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,19 - 23,Commercial activities,Yes,,,,,,,Access to water ensures punctuality to school or workplace,,Yes,Specialist Hospitals/General Hospitals/Comprehensive Health Centres,0,0,0,0,1,0,Yes,,,,,,Yes,Public Nursery Schools Public Primary Schools Public Secondary Schools,0,0,0,0,1,1,0,1,0,,,,,,Yes,Private Sector,,,,,,,"Supermarkets/Departmental Stores Daily Markets Mobile Telephone Services Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,1,1,,Yes,Access road Electricity Toilet Motor park Waste refuse dump,1,1,1,1,1,0,,,,,,,Yes,Weak,Yes,Strong,Yes,Strong,Yes,Strong,Yes,Weak,No,,,No,No,Yes,Building of Accommodation for officers and Men of the Nigerian Military within Mogadishu Cantonment ,Monitor implementation,0,0,1,0,Other (please specify),1,0,0,The needs of the community are forwarded to the Ministry of Defence for inclusion into the Federal budget,No,,No,,Yes,CDA has never contacted Area Councils on community's development,1,0,0,0,0,,Men and women,Power,,9.04773993 7.535028780000002 559.5 1.7,9.04773993,7.535028780000002,559.5,1.7,2016-08-01T11:58:25.688+01,2016-08-01T12:48:01.964+01,2016-08-01,1804606,1381879,e5850789-cc4c-4831-a10a-7fb176899efd,2016-08-01T11:48:15,7,1,1,1,1,
,Abuja Municipal Area Council,City Centre,Abacha barracks,Urban,Youth Leader,,Male,36,Married,Unemployed,,No,,,,,,,,,Migrated here,6 - 10 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,1 - 6,Commercial activities,Yes,,,,,,,No/low incidence of water-borne diseases because of good water source,,Yes,Specialist Hospitals/General Hospitals/Comprehensive Health Centres,0,0,0,0,1,0,Yes,,,,,,Yes,Public Primary Schools,0,0,0,0,0,1,0,0,0,,,,,,Yes,Private Sector,,,,,,,Daily Markets,0,0,0,0,0,0,1,0,,Yes,Access road,0,0,1,0,0,0,,,,,,,Yes,Weak,Yes,Strong,Yes,Strong,Yes,Strong,Yes,Weak,No,,,Yes,No,No,,Monitor implementation,0,0,1,0,Community writes to Area Councils stating their needs,0,1,0,,No,,Yes,1 - 6 months,Yes,Officials of CDA regularly initiate meetings with Area Council Officials,0,0,0,1,0,,Men and women,Power,,9.0310957 7.5512977 0.0 1899.999,9.0310957,7.5512977,0.0,1899.999,2016-08-01T11:54:58.902+01,2016-08-01T12:50:48.660+01,2016-08-01,1804606,1381885,9bce2156-ad75-4c3d-b6b6-4243827c40af,2016-08-01T11:51:13,8,1,1,1,1,
,Abuja Municipal Area Council,City Centre,Mogadishu cantonment,Urban,Ordinary Member,,Female,30,Single,Business,,No,,,,,,,,,Migrated here,1 - 5 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,1 - 6,Commercial activities,Yes,,,,,,,No/low incidence of water-borne diseases because of good water source,,Yes,Specialist Hospitals/General Hospitals/Comprehensive Health Centres,0,0,0,0,1,0,Yes,,,,,,Yes,Public Primary Schools,0,0,0,0,0,1,0,0,0,,,,,,Yes,Private Sector,,,,,,,"Supermarkets/Departmental Stores Daily Markets Mobile Telephone Services Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,1,1,,Yes,Access road Electricity Toilet Motor park Waste refuse dump,1,1,1,1,1,0,,,,,,,Yes,Weak,Yes,Strong,Yes,Strong,Yes,Strong,Yes,Weak,No,,,No,No,No,,Do nothing,0,0,0,1,Community writes to Area Councils stating their needs,0,1,0,,No,,No,,No,,,,,,,,,Power,,9.05013 7.5262473 0.0 1799.999,9.05013,7.5262473,0.0,1799.999,2016-08-01T12:52:25.860+01,2016-08-01T13:02:59.543+01,2016-08-01,1804606,1381972,7ff989c3-d394-4ed7-a63b-f14ec13ba7d9,2016-08-01T12:03:23,9,1,1,1,1,
,,,Area 3,Urban,Ordinary Member,,Female,27,Single,Unemployed,,No,,,,,,,,,Migrated here,26 - 30 years,,Fully tarred,Movement in and out of community is easy and convenient,0,1,0,0,Yes,,7 - 12,Household management,Yes,,,,,,,No/low incidence of water-borne diseases because of good water source,,Yes,Specialist Hospitals/General Hospitals/Comprehensive Health Centres Private Hospitals/Clinics Maternity Health Centres/Dispensaries,1,0,0,0,1,1,Yes,,,,,,Yes,Public Nursery Schools option_2 Public Primary Schools Private Primary Schools Public Secondary Schools Private Secondary Schools Universities/Polytechnics/Research Institutions,0,1,0,1,1,1,1,1,0,,,,,,Yes,Government,,,,,,,"Supermarkets/Departmental Stores option_4 Business Centres (with photocopying/typing facilities & cyber cafe services, etc) Hair Styling/Tailoring Fast Food Joint/Restaurant/Canteen",1,1,1,0,0,1,0,0,,Yes,Access road Electricity Toilet Waste refuse dump,1,1,1,1,0,0,,,,,,,option_1,Strong,option_1,Strong,option_1,Strong,option_1,Strong,option_1,Strong,No,,,No,No,No,,Do nothing,0,0,0,1,Community writes to Area Councils stating their needs,0,1,0,,No,,No,,Yes,CDA has never contacted Area Councils on community's development,1,0,0,0,0,,Equal women and men,Waste management services,,9.0310064 7.47957551 558.0999755859375 5.0,9.0310064,7.47957551,558.0999755859375,5.0,2016-08-01T12:35:44.498+01,2016-08-01T13:15:26.477+01,2016-08-01,1804274,1382026,ce1be1a4-61ae-4b2c-b162-aac61104a461,2016-08-01T12:19:03,10,1,1,1,1,
